-le|-le||||||
-li|-li||||||
alixandre|alixandre|Alisandre|||PROPN||Masc,Sing,Nom
aloient|aloient|aler (GDC)|AMBULARE||VERB||Fin,Ind,Imp,Intr,3,Plur
aloient|aloient3|aler (GDC)|AMBULARE||VERB|auxMod|Fin,Ind,Imp,3,Plur
aloit|aloit2|aler (GDC)|AMBULARE||VERB|auxMod|Fin,Ind,Imp,3,Sing
alumés|alumés|alumer|*ALLUMINARE||VERB|Adj|Ind,Part,Past,Plur,Masc
alés|alés2|aler (GDC)|AMBULARE||VERB|auxMod|Fin,Ind,Pres,2,Plur
alés|alés3|aler (GDC)|AMBULARE||VERB||Fin,Imp,Pres,Intr,2,Plur
alés|alés5|aler (GDC)|AMBULARE||VERB|auxMod|Fin,Imp,Pres,2,Plur
alés|alés7|aler (GDC)|AMBULARE||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs
aléz|aléz|aler (GDC)|AMBULARE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
alïés|alïés|aler (GDC)|AMBULARE||VERB||Fin,Sub,Pres,Rfl,2,Plur
amansast|amansast||||||
amanserés|amanserés||||||
amanz|amanz|amer1|AMARE||VERB|Noun|Ind,Part,Pres
amast|amast|amer1|AMARE||VERB||Fin,Sub,Imp,Act,Trans,3,Sing
amer|amer|amer1|AMARE||VERB||Ind,Inf,Pres,Act,Trans
amie|amie|ami|AMICUS||NOUN||Fem,Sing
amis|amis|ami|AMICUS||NOUN||Masc,Sing,Nom
amoit|amoit|amer1|AMARE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
amor|amor|amor|AMOR||NOUN||Fem,Sing
amor|amor1|amor|AMOR||NOUN||Masc,Sing,Nom
amor|amor2|amor|AMOR||NOUN||Masc,Sing,Acc
amés|amés|amer1|AMARE||VERB||Fin,Ind,Pres,Act,Trans,2,Plur
amés|amés2|amer1|AMARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
anel|anel|anel|ANELLUS||NOUN||Masc,Sing,Nom
anel|anel1|anel|ANELLUS||NOUN||Masc,Sing,Acc
ans|ans|an|ANNUS||NOUN||Masc,Plur,Nom
ansois_q’|ansois_q’|ainçois|ANTE||ADV|SConj |MWEs
