adonc|adonc|adonc|DUNC||ADV|||v
afaire|afaire1|afaire|FACERE||NOUN||Masc,Sing,Acc|v
ahotiricés|ahotiricés|autorités|AUCTORITAS||NOUN||Fem,Sing|g
ai|ai1|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,1,Sing,MWEs|v
ainc|ainc|ainz|ANTE||ADV|||g
amonest|amonest1|amonester|*ADMONESTARE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing|g
amor|amor|amor|AMOR||NOUN||Fem,Sing|v
ans|ans1|an|ANNUS||NOUN||Masc,Plur,Acc|g
ansesors|ansesors|ancessor|ANTECESSOR||NOUN||Masc,Plur,Nom|g
anz|anz1|an|ANNUS||NOUN||Masc,Plur,Acc|g
apellés|apellés|apeler|APELLARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs|g
aportés|aportés2|aporter|APPORTARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs|g
aprendre|aprendre|aprendre|APPREHENDERE||VERB||Ind,Inf,Pres,Act,Trans|g
aprés|aprés|après|AD PRESSUM||ADP|||g
aprés_ce_qe|aprés_ce_qe|après|AD PRESSUM||ADV|SConj |Tim,MWEs|g
ardis|ardis|hardi|*HARDJAN||ADJ||Masc,Sing,Nom|g
armaire|armaire1|armaire|ARMARIUM||NOUN||Masc,Sing,Acc|g
ars|ars|art|ARS||NOUN||Fem,Plur|v
arte|arte|X|X||X|||g
as|as|a3|AD||ADP||PrepArt|v
ateines|ateines|Athènes|||PROPN||Fem,Sing|g
aut|aut1|haut|ALTUS||ADJ||Masc,Sing,Acc|v
autre|autre7|autre|ALTER||PRON||Ind,Masc,Sing,Acc|g
autres|autres5|autre|ALTER||PRON||Ind,Masc,Plur,Acc|g
avendroit|avendroit|avenir|ADVENIRE||VERB||Fin,Cnd,Pres,Intr,3,Sing|g
avint|avint|avenir|ADVENIRE||VERB||Fin,Ind,Past,Intr,3,Sing|g
avoir|avoir|avoir|HABERE||VERB||Ind,Inf,Pres,Act,Trans|g
avoit|avoit|avoir|HABERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing|v
avoit|avoit2|avoir|HABERE||VERB|auxTens|Fin,Ind,Imp,3,Sing,MWEs|v
bataille|bataille|bataille|BATTUALIA||NOUN||Fem,Sing|g
bestes|bestes|beste|BESTIA||NOUN||Fem,Plur|v
bien|bien4|bien2|BENE||ADV||Man|v
c|c|cent|CENTUM||NUM||Card|v
car|car|car|QUARE||SCONJ|||v
ce|ce|ce1|HOC||PRON||Dem,Neut,Sing,Nom|g
ce|ce1|ce1|HOC||PRON||Dem,Neut,Sing,Acc|v
celer|celer|celer|CELARE||VERB||Ind,Inf,Pres,Act,Trans|v
cels_qe|cels_qe|cel|ILLE||PRON|Pron|Dem,Masc,Plur,Nom,MWEs|g
celui|celui|cel|ILLE||DET||Dem,Masc,Sing,Nom|v
celui|celui1|cel|ILLE||DET||Dem,Masc,Sing,Acc|v
celui|celui2|cel|ILLE||PRON||Dem,Masc,Sing,Nom|v
cersoit|cersoit|cerchier|CIRCARE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing|g
ceste|ceste1|cest|ISTE||DET||Dem,Fem,Sing|v
cestui|cestui2|cest|ISTE||DET||Dem,Masc,Sing,Nom|v
charnels|charnels|charnel2|CARNALIS||ADJ||Masc,Plur,Acc|g
chersant|chersant|cerchier|CIRCARE||VERB||Ind,Ger,Pres,Act,Trans|g
