chief|chief1|chief1|CAPUT||NOUN||Masc,Sing,Acc
chouses|chouses|chose|CAUSA||NOUN||Fem,Plur
cité|cité|cité|CIVITAS||NOUN||Fem,Sing
com|com|come1|QUOMODO||SCONJ||
come|come|come1|QUOMODO||SCONJ||
comenciee|comenciee2|comencier|COMINITIARE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
comensa|comensa|comencier|COMINITIARE||VERB||Fin,Ind,Past,Intr,3,Sing
coment|coment|coment|QUOMODO||ADV||Int
comunement|comunement|comunement|COMMUNIS||ADV||
conpaignie|conpaignie|compagnie|COMPANIO||NOUN||Fem,Sing
conpaignons|conpaignons2|compagnon|COMPANIO||NOUN||Masc,Sing,Nom
consoil|consoil1|conseil|CONSILIUM||NOUN||Masc,Sing,Acc
consoillerent|consoillerent|conseillier|CONSILIARE||VERB||Fin,Ind,Past,Intr,3,Plur
consoillier|consoillier1|conseillier3|CONSILIARE||VERB||Ind,Inf,Pres,Intr
conter|conter|conter|COMPUTARE||VERB||Ind,Inf,Pres,Act,Trans
conterai|conterai|conter|COMPUTARE||VERB||Fin,Ind,Fut,Act,Trans,1,Sing
contes|contes|conte2|COMPUTUS||NOUN||Masc,Sing,Nom
contraire|contraire|contraire1|CONTRARIUS||ADJ||Fem,Sing
contree|contree|contree|CONTRA||NOUN||Fem,Sing
contés|contés|conter|COMPUTARE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
convenables|convenables|convenable|CONVENIRE||ADJ||Neut,Sing,Nom
convenoient|convenoient|covenir|CONVENIRE||VERB||Fin,Ind,Imp,Intr,3,Plur
convenoit|convenoit|covenir|CONVENIRE||VERB||Fin,Ind,Imp,Intr,3,Sing
coros|coros|corroz|*CORRUPTUM||NOUN||Masc,Sing,Acc
corrociez|corrociez3|corrocier|*CORRUPTUM||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs
corut|corut|corir|CURRERE||VERB||Fin,Ind,Past,Intr,3,Sing
cuiderent|cuiderent|cuidier1|COGITARE||VERB||Fin,Ind,Past,Intr,3,Plur
cuidons|cuidons|cuidier1|COGITARE||VERB||Fin,Ind,Pres,Intr,1,Plur
c’|c’|se|SI||SCONJ||
damaje|damaje1|damage|DAMNUM||NOUN||Masc,Sing,Acc
dame|dame|dame|DOMINA||NOUN||Fem,Sing
de|de|de|DE||ADP||
de_denz|de_denz|dedans|DEINTUS||ADP||
de_rechief|de_rechief|rechief|CAPUT||NOUN|Adv|Masc,Sing
delaiement|delaiement1|delaiement|LAXARE||NOUN||Masc,Sing,Acc
demorance|demorance|demorance|DEMORARI||NOUN||Fem,Sing
demorerent|demorerent|demorer|DEMORARI||VERB||Fin,Ind,Past,Intr,3,Plur
demorés|demorés|demorer|DEMORARI||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs
des|des2|de|DE||ADP||PrepArt
desconfortés|desconfortés1|desconforter|CONFORTARE||VERB||Ind,Part,Past,Sing,Masc
desenor|desenor|desonor|HONOS||NOUN||Masc,Sing,Nom
desmesuree|desmesuree|desmesurer|MENSURARE||VERB|Adj|Ind,Part,Past,Sing,Fem
destruire|destruire|destruire|DESTRUERE||VERB||Ind,Inf,Pres,Act,Trans
detrenchés|detrenchés|detrenchier|*TRINICARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
deversité|deversité|diverseté|DIVERSUS||NOUN||Fem,Sing
devindrent|devindrent|devenir|DEVENIRE||VERB||Fin,Ind,Past,Intr,3,Plur
deviser|deviser|deviser|*DIVISARE||VERB||Ind,Inf,Pres,Act,Trans
devoient|devoient|devoir|DEBERE||VERB|auxMod|Fin,Ind,Imp,3,Plur
devoit|devoit|devoir|DEBERE||VERB|auxMod|Fin,Ind,Imp,3,Sing
deüst|deüst|devoir|DEBERE||VERB|auxMod|Fin,Sub,Imp,3,Sing
di|di|dire|DICERE||VERB||Fin,Ind,Pres,Intr,1,Sing
diomedes|diomedes|Dyomedes|||PROPN||Masc,Sing,Nom
disoient|disoient|dire|DICERE||VERB||Fin,Ind,Imp,Intr,3,Plur
dist|dist|dire|DICERE||VERB||Fin,Ind,Past,Intr,3,Sing
distrent|distrent|dire|DICERE||VERB||Fin,Ind,Past,Intr,3,Plur
dit|dit|dire|DICERE||VERB||Fin,Ind,Pres,Intr,3,Sing
doi|doi1|devoir|DEBERE||VERB|auxMod|Fin,Ind,Pres,1,Sing
dou|dou|de|DE||ADP||PrepArt
dou_qels|dou_qels|quel1|QUALIS||PRON||Int,Masc,Plur,Acc
du|du|deus|DUO||NUM||Card
duel|duel1|duel|DOLUS||NOUN||Masc,Sing,Acc
dura|dura|durer|DURARE||VERB||Fin,Ind,Past,Intr,3,Sing
d’|d’|de|DE||ADP||
els|els1|il|ILLE||PRON||Prs,3,Masc,Plur,Acc
en|en|en1|IN||ADP||
en|en2|en2|INDE||PRON||
en_la_fin|en_la_fin|fin1|FINIS||NOUN|Adv|Fem,Sing
en_luec|en_luec|iluec|ILLOC||ADV||Loc
en_tel_guise_com|en_tel_guise_com||||||
en_tel_mainiere|en_tel_mainiere|maniere|MANUARIUS||NOUN|Adv|Fem,Sing
enpereor|enpereor|emperëor|IMPERATOR||NOUN||Masc,Sing,Acc
enprise|enprise1|emprendre|*IMPREHENDERE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
ensenble|ensenble|ensemble|INSIMUL||ADV||
ensenbles|ensenbles|ensemble|INSIMUL||ADV||
ensi|ensi|ainsi|SIC||ADV||
ensi_com|ensi_com|ainsi|SIC||ADV|Adv|MWEs
entendoient|entendoient|entendre|INTENDERE||VERB||Fin,Ind,Imp,Intr,3,Plur
entendos|entendos|entendre|INTENDERE||VERB||Fin,Imp,Pres,Intr,1,Plur
entremetoient|entremetoient|entremetre|MITTERE||VERB||Fin,Ind,Imp,Rfl,3,Plur
entretant|entretant|tant|TANTUS||ADV||Tim
entr’|entr’|entre2|INTER||ADP||
envoïrent|envoïrent|envoiier|INVIARE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
es|es5|il|ILLE||PRON||Prs,3,Masc,Plur,Acc
esfors|esfors|esforz2|*FORTIARE||NOUN||Masc,Sing,Acc
esleürent|esleürent|eslire|ELIGERE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
esploterent|esploterent|esploitier|EXPLICITUM||VERB||Fin,Ind,Past,Act,Trans,3,Plur
est|est1|estre1|ESSE||VERB|auxCop|Fin,Ind,Pres,3,Sing
establi|establi1|establir|STABILIRE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
establirent|establirent|establir|STABILIRE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
