-les|-les||||||
aprés|aprés1|après|AD PRESSUM||ADV||Tim
archees|archees|archiee|ARCUS||NOUN||Fem,Plur
argent|argent|argent|ARGENTUM||NOUN||Masc,Sing,Acc
arieres|arieres|ariere|AD RETRO||ADV||Loc
ariva|ariva|ariver|*ARRIPARE||VERB||Fin,Ind,Past,Intr,3,Sing
arivees|arivees|ariver|*ARRIPARE||VERB|compTens|Ind,Part,Past,Plur,Fem,MWEs
ariver|ariver|ariver|*ARRIPARE||VERB||Ind,Inf,Pres,Intr
ariverent|ariverent|ariver|*ARRIPARE||VERB||Fin,Ind,Past,Intr,3,Plur
arivierent|arivierent|ariver|*ARRIPARE||VERB||Fin,Ind,Past,Intr,3,Plur
arma|arma1|armer|ARMARE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
armee|armee|armer|ARMARE||VERB|Adj|Ind,Part,Past,Plur,Fem
armees|armees|armer|ARMARE||VERB|Adj|Ind,Part,Past,Plur,Fem
armer|armer|armer|ARMARE||VERB||Ind,Inf,Pres,Act,Trans
armerent|armerent|armer|ARMARE||VERB||Fin,Ind,Past,Rfl,3,Plur
armes|armes|arme|ARMA||NOUN||Fem,Plur
armeürez|armeürez|armëure|ARMATURA||NOUN||Fem,Plur
armés|armés|armer|ARMARE||VERB|Adj|Ind,Part,Past,Plur,Masc
armés|armés1|armer|ARMARE||VERB|Adj|Ind,Part,Past,Sing,Masc
as|as|a3|AD||ADP||PrepArt
asaillir|asaillir|assalir|*ASSALIRE||VERB||Ind,Inf,Pres,Act,Trans
asaudrons|asaudrons|assalir|*ASSALIRE||VERB||Fin,Ind,Fut,Act,Trans,1,Plur
asenblerent|asenblerent|assembler|ASSIMILARE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
asenblés|asenblés|assembler|ASSIMILARE||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs
asés|asés|assez|AD SATIS||ADV||
atant|atant|tant|TANTUS||ADV||Tim
au|au|a3|AD||ADP||PrepArt
aubers|aubers|herberc|*HARIBERGôN||NOUN||Masc,Plur,Acc
auques|auques|auques|ALIQUID||ADV||
