FORMA|LEMMA|ETIMO|LANG|POS|FUNCT||ADPTYPE|ADVTYPE|ADVTYPE2|CASE|DEGREE|DETERTYPE|GENDER|MOOD|MWES|NUMBER|NUMTYPE|PARTTYPE|PERSON|PRONTYPE|PROPERTY|TENSE|VERBFORM|VOICE|g|h|p|v
afïés|afier|*FIDARE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
agamenon|Agamemnon|||propernoun||||||acc|||masc|||sing|||||||||g||p|v
agamenon|Agamemnon|||propernoun||||||nom|||masc|||sing|||||||||g||p|v
age|ëage|AETAS||noun|||||||||fem|||sing|||||||||g||p|v
agusiéz|aguisier|*ACUTIARE||verb|Adj||||||||masc|part||sing||||||past|ind||g||p|v
ahornee|aorner2|ADORNARE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
ahornement|aornement|ADORNARE||noun||||||acc|||masc|||plur|||||||||g||p|v
ahornement|aornement|ADORNARE||noun||||||acc|||masc|||sing|||||||||g||p|v
ahornés|aorner2|ADORNARE||verb|Adj||||||||masc|part||plur||||||past|ind||g||p|v
ahornés|aorner2|ADORNARE||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
ahornés|aorner2|ADORNARE||verb|Adj||||||||masc|part||sing||||||past|ind||g||p|v
ahotiricés|autorités|AUCTORITAS|fr.it.,XIV|noun|||||||||fem|||sing|||||||||g|h|p|v
aideront|aidier|ADJUTARE||verb||||||||||||plur|||3||trans|fut|ind|act|g||p|v
aider|aidier|ADJUTARE||verb||||||||||inf||||||||pres|ind|rfl|g||p|v
aide|äie|ADJUTARE||noun||||||acc|||masc|||sing|||||||||g||p|v
aidier|aidier|ADJUTARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
aient|avoir|HABERE||verb||||||||||sub||plur|||3||trans|pres|fin|act|g||p|v
aies|avoir|HABERE||verb|auxTens|||||||||sub|mwes|sing|||2|||pres|fin||g||p|v
aigue|aigue|AQUA||noun|||||||||fem|||sing|||||||||g||p|v
aillent|aler (GDC)|AMBULARE||verb||||||||||sub||plur|||3||intr|pres|fin||g||p|v
aille|aler (GDC)|AMBULARE||verb||||||||||sub||sing|||3||intr|pres|fin||g||p|v
aime|amer1|AMARE||verb||||||||||||sing|||3||trans|pres|ind|act|g||p|v
aime|amer1|AMARE||verb||||||||||||sing|||1||trans|pres|ind|act|g||p|v
aim|amer1|AMARE||verb||||||||||||sing|||1||trans|pres|ind|act|g||p|v
ainc|ainz|ANTE|fr.it.,|adverb|||||||||||||||||||||g||p|v
ains_qe|ainz|ANTE||adverb|SConj ||||||||||mwes||||||||||g||p|v
ainsois_qe|ainçois|ANTE||adverb|SConj ||||||||||mwes||||||||||g||p|v
ains|ainz|ANTE||adverb|||||||||||||||||||||g||p|v
air|air1|AER||noun||||||nom|||masc|||sing|||||||||g||p|v
air|air1|AER||noun|||||||||fem|||sing|||||||||g||p|v
aisieement|aisement|ADJACENS||adverb||||man|||||||||||||||||g||p|v
ais|aise|ADJACENS||noun||||||acc|||masc|||sing|||||||||g||p|v
ais|avoir|HABERE||verb|auxTens||||||||||mwes|sing|||2|||pres|ind||g||p|v
ais|ainz|ANTE||adverb|||||||||||||||||||||g||p|v
ait|avoir|HABERE||verb|auxTens|||||||||sub|mwes|sing|||3|||pres|fin||g||p|v
ait|avoir|HABERE||verb||||||||||sub||sing|||3||trans|pres|fin|act|g||p|v
ai|avoir|HABERE|fr.it.,XIV|verb|auxTens||||||||||mwes|sing|||1|||pres|ind||g||p|v
ai|avoir|HABERE||verb||||||||||||sing|||1||trans|pres|ind|act|g||p|v
ajorner|ajorner|DIURNUM||verb|Noun|||||||||inf||||||||pres|ind||g||p|v
ajousta|ajoster|*JUXTARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
ajoustee|ajoster|*JUXTARE||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
ajoustrerent|ajoster|*JUXTARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
alai|aler (GDC)|AMBULARE||verb||||||||||||sing|||1||intr|past|ind||g||p|v
alant|aler (GDC)|AMBULARE||verb||||||||||ger|||||||intr|pres|ind||g||p|v
alassent|aler (GDC)|AMBULARE||verb|auxMod|||||||||imp||sing|||3||||fin||g||p|v
alassent|aler (GDC)|AMBULARE||verb||||||||||imp||plur|||3||intr||fin||g||p|v
alasses|aler (GDC)|AMBULARE||verb||||||||||imp||sing|||2||intr||fin||g||p|v
alast|aler (GDC)|AMBULARE||verb||||||||||imp||sing|||3||intr||fin||g||p|v
ala|aler (GDC)|AMBULARE||verb||||||||||||sing|||3|||past|ind|rfl|g||p|v
ala|aler (GDC)|AMBULARE||verb|auxMod|||||||||||sing|||3|||past|ind||g||p|v
ala|aler (GDC)|AMBULARE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
alee|aler (GDC)|AMBULARE||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
alegresse|halegrece|ALACER||noun|||||||||fem|||sing|||||||||g||p|v
alegre|haliegre|ALACER||adjective|||||||||fem|||sing|||||||||g||p|v
aleigre|haliegre|ALACER||adjective||||||nom|||masc|||plur|||||||||g||p|v
aleigre|haliegre|ALACER||adjective|||||||||fem|||sing|||||||||g||p|v
aleigre|haliegre|ALACER||adjective||||||nom|||masc|||sing|||||||||g||p|v
alerent|aler (GDC)|AMBULARE||verb||||||||||||plur|||3|||past|ind|rfl|g||p|v
alerent|aler (GDC)|AMBULARE||verb||||||||||||plur|||3||intr|past|ind||g||p|v
aler|aler (GDC)|AMBULARE||verb|auxMod|||||||||inf||||||||pres|ind||g||p|v
aler|aler (GDC)|AMBULARE||verb|Noun|||||||||inf||||||||pres|ind||g||p|v
aler|aler (GDC)|AMBULARE||verb||||||||||inf|||||||intr|pres|ind||g||p|v
aleüre|alëure|AMBULARE||noun|||||||||fem|||sing|||||||||g||p|v
alixandre|Alisandre|||propernoun||||||nom|||masc|||sing|||||||||g||p|v
aloient|aler (GDC)|AMBULARE||verb|auxMod|||||||||imp||plur|||3||||ind||g||p|v
aloient|aler (GDC)|AMBULARE||verb||||||||||imp||plur|||3||intr||ind||g||p|v
aloit|aler (GDC)|AMBULARE||verb||||||||||imp||sing|||3||||ind|rfl|g||p|v
aloit|aler (GDC)|AMBULARE||verb|auxMod|||||||||imp||sing|||3||||ind||g||p|v
aloit|aler (GDC)|AMBULARE||verb||||||||||imp||sing|||3||intr||ind||g||p|v
alumoient|alumer|*ALLUMINARE||verb||||||||||imp||plur|||3||intr||ind||g||p|v
alumés|alumer|*ALLUMINARE||verb|Adj||||||||masc|part||plur||||||past|ind||g||p|v
alés|aler (GDC)|AMBULARE||verb|auxMod|||||||||||plur|||2|||pres|ind||g||p|v
alés|aler (GDC)|AMBULARE||verb||||||||||imp||plur|||2||intr|pres|fin||g||p|v
alés|aler (GDC)|AMBULARE||verb||||||||||imp||plur|||2|||pres|fin|rfl|g||p|v
alés|aler (GDC)|AMBULARE||verb|auxMod|||||||||imp||plur|||2|||pres|fin||g||p|v
alés|aler (GDC)|AMBULARE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
alés|aler (GDC)|AMBULARE||verb|compTens||||||||masc|part|mwes|plur||||||past|ind||g||p|v
aléz|aler (GDC)|AMBULARE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
alïés|aler (GDC)|AMBULARE||verb||||||||||sub||plur|||2|||pres|fin|rfl|g||p|v
amanz|amer1|AMARE||verb|Noun|||||||||part||||||||pres|ind||g||p|v
amasser|amasser|MASSA||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
amast|amer1|AMARE||verb||||||||||imp||sing|||3||trans||fin|act|g||p|v
amena|amener|MINARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
amender|amender|EMENDARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
amenee|amener|MINARE||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
amenés|amener|MINARE||verb|compTens||||||||masc|part|mwes|plur||||||past|ind||g||p|v
amerai|amer1|AMARE||verb||||||||||||sing|||1||trans|fut|ind|act|g||p|v
amerra|amener|MINARE||verb||||||||||||sing|||3||intr|fut|ind||g||p|v
amer|amer1|AMARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
amie|ami|AMICUS||noun|||||||||fem|||sing|||||||||g||p|v
amisté|amistié|*AMICITAS||noun|||||||||fem|||sing|||||||||g||p|v
amis|ami|AMICUS||noun||||||nom|||masc|||plur|||||||||g||p|v
amis|ami|AMICUS||noun||||||acc|||masc|||plur|||||||||g||p|v
amis|ami|AMICUS||noun||||||nom|||masc|||sing|||||||||g||p|v
ami|ami|AMICUS||noun||||||nom|||masc|||sing|||||||||g||p|v
amoine|amener|MINARE||verb||||||||||||sing|||3||trans|pres|ind|act|g||p|v
amoit|amer1|AMARE||verb||||||||||imp||sing|||3||trans||ind|act|g||p|v
amonest|amonester|*ADMONESTARE||verb||||||||||||sing|||3||trans|pres|ind|act|g||p|v
amonest|amonester|*ADMONESTARE||verb||||||||||||sing|||1||trans|pres|ind|act|g||p|v
amont|amont|MONS||adverb||||loc|||||||||||||||||g||p|v
amors|amor|AMOR||noun||||||nom|||masc|||sing|||||||||g||p|v
amor|amor|AMOR||noun||||||nom|||masc|||sing|||||||||g||p|v
amor|amor|AMOR||noun||||||acc|||masc|||sing|||||||||g||p|v
amor|amor|AMOR||noun|||||||||fem|||sing|||||||||g||p|v
amés|amer1|AMARE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
amés|amer1|AMARE||verb||||||||||||plur|||2||trans|pres|ind|act|g||p|v
ancrerent|ancrer|ANCORA||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
ancres|ancre|ANCORA||noun|||||||||fem|||plur|||||||||g||p|v
andromacha|Andromaque|||propernoun|||||||||fem|||sing|||||||||g||p|v
anel|anel|ANELLUS||noun||||||acc|||masc|||sing|||||||||g||p|v
anel|anel|ANELLUS||noun||||||acc|||masc|||plur|||||||||g||p|v
anel|anel|ANELLUS||noun||||||nom|||masc|||sing|||||||||g||p|v
annee|ainzné|ANTENATUS||adjective|||||||||fem|||sing|||||||||g||p|v
ansesors|ancessor|ANTECESSOR||noun||||||acc|||masc|||plur|||||||||g||p|v
ansesors|ancessor|ANTECESSOR||noun||||||nom|||masc|||plur|||||||||g||p|v
ansien|anciien|ANTE||adjective||||||nom|||masc|||sing|||||||||g||p|v
ansois_q’|ainçois|ANTE||adverb|SConj ||||||||||mwes||||||||||g||p|v
ans|an|ANNUS||noun||||||acc|||masc|||plur|||||||||g||p|v
ans|an|ANNUS||noun||||||nom|||masc|||plur|||||||||g||p|v
ante|ante|AMITA||noun|||||||||fem|||sing|||||||||g||p|v
anthenor|Anténor|||propernoun||||||nom|||masc|||sing|||||||||g||p|v
anz|an|ANNUS||noun||||||acc|||masc|||plur|||||||||g||p|v
aornee|aorner2|ADORNARE||verb|Adj||||||||fem|part||sing||||||past|ind||g||p|v
aparir|aparoir|APPARERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
aparoillasent|apareillier1|*APPARICULARE||verb||||||||||imp||plur|||3||trans||fin|act|g||p|v
aparoilla|apareillier1|*APPARICULARE||verb||||||||||||sing|||3|||past|ind|rfl|g||p|v
aparoillees|apareillier1|*APPARICULARE||verb|Adj||||||||fem|part||plur||||||past|ind||g||p|v
aparoillee|apareillier1|*APPARICULARE||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
aparoillee|apareillier1|*APPARICULARE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
aparoillee|apareillier1|*APPARICULARE||verb|Adj||||||||fem|part||sing||||||past|ind||g||p|v
aparoillee|apareillier1|*APPARICULARE||verb|Adj||||||||fem|part||plur||||||past|ind||g||p|v
aparoillee|apareillier1|*APPARICULARE||verb|||||||||fem|part||sing||||||past|ind||g||p|v
aparoiller|apareillier1|*APPARICULARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
aparoilliee|apareillier1|*APPARICULARE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
aparoilliee|apareillier1|*APPARICULARE||verb|||||||||fem|part||sing||||||past|ind||g||p|v
aparoillier|apareillier1|*APPARICULARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
aparoillier|apareillier1|*APPARICULARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
aparoilliés|apareillier1|*APPARICULARE||verb|compPass||||||||fem|part|mwes|plur||||||past|ind||g||p|v
aparoillés|apareillier1|*APPARICULARE||verb|||||||||masc|part||plur||||||past|ind||g||p|v
aparoillés|apareillier1|*APPARICULARE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
aparoillés|apareillier1|*APPARICULARE||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
aparoillés|apareillier1|*APPARICULARE||verb|Adj||||||||masc|part||sing||||||past|ind||g||p|v
aparoillés|apareillier1|*APPARICULARE||verb|Adj||||||||masc|part||plur||||||past|ind||g||p|v
aparoillés|apareillier1|*APPARICULARE||verb|||||||||masc|part||sing||||||past|ind||g||p|v
aparoillé|apareillier1|*APPARICULARE||verb|Adj||||||||masc|part||sing||||||past|ind||g||p|v
aparoils|apareil|*APPARICULARE||noun||||||acc|||masc|||plur|||||||||g||p|v
aparoil|apareil|*APPARICULARE||noun||||||acc|||masc|||sing|||||||||g||p|v
aparoil|apareil|*APPARICULARE||noun||||||acc|||masc|||plur|||||||||g||p|v
aparoil|apareil|*APPARICULARE||noun||||||nom|||masc|||sing|||||||||g||p|v
apartient|apartenir|APPERTINERE||verb||||||||||||sing|||3||intr|pres|ind||g||p|v
aparut|aparoir|*APPARESCERE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
apella|apeler|APPELLARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
apellee|apeler|APPELLARE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
apellés|apeler|APELLARE|xx|verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
apendant|apendre|APPENDERE||verb||||||||||ger|||||||intr||ind||g||p|v
apensee|apenser|PENSARE||verb|Adj||||||||fem|part||sing||||||past|ind||g||p|v
aperceüs|apercevoir|PERCIPERE||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
aperceüs|apercevoir|PERCIPERE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
apercuerent|apercevoir|PERCIPERE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
apertement|apertement|APERIRE||adverb||||man|||||||||||||||||g||p|v
apollo|Apollon|||propernoun||||||acc|||masc|||sing|||||||||g||p|v
apollus|Pollux|||propernoun||||||acc|||masc|||sing|||||||||g||p|v
apollus|Pollux|||propernoun||||||nom|||masc|||sing|||||||||g||p|v
apolus|Pollux|||propernoun||||||nom|||masc|||sing|||||||||g||p|v
aporta|aporter|APPORTARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
aportoit|aporter|APPORTARE||verb||||||||||imp||sing|||3||trans||ind|act|g||p|v
aport|aporter|APPORTARE||verb||||||||||sub||sing|||3||trans|pres|fin|act|g||p|v
aportés|aporter|APPORTARE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
aportés|aporter|APPORTARE|yy|verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
apparoillee|apareillier1|*APPARICULARE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
appollus|Pollux|||propernoun||||||acc|||masc|||sing|||||||||g||p|v
aprendre|aprendre|APPREHENDERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
apresera|apresser|*PRESSARE||verb||||||||||||sing|||3||intr|fut|ind||g||p|v
apressés|apresser|PRESSARE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
aprestee|aprester|PRAESTO||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
aprochast|aprochier|APPROPIARE||verb||||||||||imp||sing|||3||||fin|rfl|g||p|v
aproche|aprochier|APPROPIARE||verb||||||||||||sing|||3|||pres|ind|rfl|g||p|v
aprochier|aprochier|APPROPIARE||verb||||||||||inf||||||||pres|ind|rfl|g||p|v
aprés_ce_qe|après|AD PRESSUM||adverb|SConj |||tim|||||||mwes||||||||||g||p|v
aprés_se_q’|après|AD PRESSUM||adverb|SConj |||tim|||||||mwes||||||||||g||p|v
aprés|après|AD PRESSUM||adverb||||tim|||||||||||||||||g||p|v
aprés|après|AD PRESSUM||adposition|||||||||||||||||||||g||p|v
arbre|arbre|ARBOR||noun||||||acc|||masc|||sing|||||||||g||p|v
archees|archiee|ARCUS||noun|||||||||fem|||plur|||||||||g||p|v
ardant|ardre|ARDERE||verb|Adj|||||||||part||||||||pres|ind||g||p|v
ardiement|hardiement|*HARDJAN||adverb||||man|||||||||||||||||g||p|v
ardist|ardre|ARDERE||verb||||||||||imp||sing|||3||intr||fin||g||p|v
ardis|hardi|*HARDJAN||adjective||||||nom|||masc|||plur|||||||||g||p|v
ardis|hardi|*HARDJAN||adjective||||||nom|||masc|||sing|||||||||g||p|v
ardoient|ardre|ARDERE||verb||||||||||imp||plur|||3||intr||ind||g||p|v
ardoir|ardre|ARDERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
aree|arer|ARARE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
arer|arer|ARARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
arestee|arester|ARRESTARE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
areste|arester|ARRESTARE||verb||||||||||imp||sing|||2|||pres|ind|rfl|g||p|v
argent|argent|ARGENTUM||noun||||||acc|||masc|||sing|||||||||g||p|v
argon|Argon|||propernoun|||||||||fem|||sing|||||||||g||p|v
argus|Argus|||propernoun||||||acc|||masc|||sing|||||||||g||p|v
argus|Argus|||propernoun||||||nom|||masc|||sing|||||||||g||p|v
arieres|ariere|AD RETRO||adverb||||loc|||||||||||||||||g||p|v
arisier|arecier|*ARRECTIARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
arivames|ariver|*ARRIPARE||verb||||||||||imp||plur|||1||intr||fin||g||p|v
arivassent|ariver|*ARRIPARE||verb||||||||||imp||plur|||3||intr||fin||g||p|v
ariva|ariver|*ARRIPARE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
arivees|ariver|*ARRIPARE||verb|compTens||||||||fem|part|mwes|plur||||||past|ind||g||p|v
arivee|ariver|*ARRIPARE||verb|||||||||fem|part||sing||||||past|ind||g||p|v
ariverent|ariver|*ARRIPARE||verb||||||||||||plur|||3||intr|past|ind||g||p|v
ariverons|ariver|*ARRIPARE||verb||||||||||||plur|||1||intr|fut|ind||g||p|v
ariver|ariver|*ARRIPARE||verb||||||||||inf|||||||intr|pres|ind||g||p|v
arivierent|ariver|*ARRIPARE||verb||||||||||||plur|||3||intr|past|ind||g||p|v
arivés|ariver|*ARRIPARE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
arivés|ariver|*ARRIPARE||verb|compTens||||||||masc|part|mwes|plur||||||past|ind||g||p|v
arivéz|ariver|*ARRIPARE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
armaire|armaire|ARMARIUM||noun||||||acc|||masc|||sing|||||||||g||p|v
armassent|armer|ARMARE||verb||||||||||imp||plur|||3||||fin|rfl|g||p|v
arma|armer|ARMARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
arma|armer|ARMARE||verb||||||||||||sing|||3|||past|ind|rfl|g||p|v
armees|armer|ARMARE||verb|Adj||||||||fem|part||plur||||||past|ind||g||p|v
armee|armer|ARMARE||verb|Adj||||||||fem|part||plur||||||past|ind||g||p|v
armerent|armer|ARMARE||verb||||||||||||plur|||3|||past|ind|rfl|g||p|v
armer|armer|ARMARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
armes|arme|ARMA||noun|||||||||fem|||plur|||||||||g||p|v
armeüres|armëure|ARMATURA||noun|||||||||fem|||sing|||||||||g||p|v
armeürez|armëure|ARMATURA||noun|||||||||fem|||plur|||||||||g||p|v
armés|armer|ARMARE||verb|Adj||||||||masc|part||sing||||||past|ind||g||p|v
armés|armer|ARMARE||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
armés|armer|ARMARE||verb|Adj||||||||masc|part||plur||||||past|ind||g||p|v
aroie|avoir|HABERE||verb||||||||||||sing|||1||trans|fut|ind|act|g||p|v
arrieres|ariere|*AD RETRO||adverb||||loc|||||||||||||||||g||p|v
arse|ardre|ARDERE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
ars|ardre|ARDERE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
ars|art|ARS||noun|||||||||fem|||plur|||||||||g||p|v
artefiéz|artifier (GD)|ARS||verb|||||||||masc|part||plur||||||past|ind||g||p|v
arte|X|X||other|||||||||||||||||||||g||p|v
asaillir|assalir|*ASSALIRE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
asaillis|assalir|*ASSALIRE||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
asaillis|assalir|*ASSALIRE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
asailli|assalir|*ASSALIRE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
asaiés|essaiier|EXAGIUM||verb|compTens||||||||masc|part|mwes|plur||||||past|ind||g||p|v
asaudra|assalir|*ASSALIRE||verb||||||||||||sing|||3||trans|fut|ind|act|g||p|v
asaudrons|assalir|*ASSALIRE||verb||||||||||||plur|||1||trans|fut|ind|act|g||p|v
asauta|assauter|*ASSALTUS||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
