FORMA|LEMMA|ETIMO|LANG|POS|FUNCT|MSD|SIGLE
damoisel|damoisel|*DOMNICELLUS||NOUN||Masc,Sing,Nom
et|et|ET||CCONJ||
vaillant|valoir|VALERE||VERB|Adj|Ind,Part,Pres
car|car|QUARE||SCONJ||
de|de|DE||ADP||
sa|suen|SUUS||DET||Poss,Fem,Sing
enfante|enfance|INFANTIA||NOUN||Fem,Sing
comenca|comencier|COMINITIARE||VERB||Fin,Ind,Past,Intr,3,Sing
il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
à|a3|AD||ADP||
sormonter|sormonter|*MONTARE||VERB||Ind,Inf,Pres,Act,Trans
tot|tot|TOTUS||DET||Ind,Masc,Plur,Acc
les|le|ILLE||DET||ArtDef,Masc,Plur
damoiseles|damoisel|*DOMNICELLUS||NOUN||Masc,Plur,Acc
de|de|DE||ADP||
son|suen|SUUS||DET||Poss,Masc,Sing,Acc
païs|päis|PAGENSIS||NOUN||Masc,Sing,Acc
neis|nëis|NEC||ADV||Neg
tos|tot|TOTUS||DET||Ind,Masc,Plur,Acc
cels|cel|ILLE||PRON||Dem,Masc,Plur,Acc
dou|de|DE||ADP||PrepArt
monde|monde1|MUNDUS1||NOUN||Masc,Sing,Acc
car|car|QUARE||SCONJ||
il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
estoit|estre1|ESSE||VERB|auxCop|Fin,Ind,Imp,3,Sing
mult|mout|MULTUS||ADV||
vaillant|valoir|VALERE||VERB|Adj|Ind,Part,Pres
et|et|ET||CCONJ||
preuz|pro|PRODE||ADJ||Masc,Sing,Nom
et|et|ET||CCONJ||
saje|sage|SAPIDUS||ADJ||Masc,Sing,Nom
.||||||
celui|cel|ILLE||DET||Dem,Masc,Sing,Nom
jason|Jason|||PROPN||Masc,Sing,Nom
estoit|estre1|ESSE||VERB|auxTens|Fin,Ind,Imp,3,Sing,MWEs
tant|tant|TANTUS||ADV||
montés|monter|*MONTARE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
de|de|DE||ADP||
sa|suen|SUUS||DET||Poss,Fem,Sing
enfante|enfance|INFANTIA||NOUN||Fem,Sing
par|par|PER||ADP||
