daire|daire|Daires|||PROPN||Masc,Sing,Nom|g,p,v
danner|danner|damner|DAMNARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
de|de|de|DE||ADP|||g,p,v
de_denz|de_denz|dedans|DEINTUS||ADP|||g,p,v
de_la|de_la|de|DE||ADP||PrepArt|g,p,v
dedenz|dedenz|dedans|DEINTUS||ADP|||g,p,v
deesses|deesses|dieuesse|DEUS||NOUN||Fem,Plur|g,p,v
deliter|deliter|delitier|DELECTARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
demanois|demanois|demanois|MANUS||ADV|||g,p,v
desiritee|desiritee|desireter|HEREDITARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
destrucion|destrucion|destructïon|DESTRUERE||NOUN||Fem,Sing|g,p,v
destruice|destruice|destruire|DESTRUERE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
destruie|destruie|destruire|DESTRUERE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
destruite|destruite|destruire|DESTRUERE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
destrusion|destrusion|destructïon|DESTRUERE||NOUN||Fem,Sing|g,p,v
destrute|destrute|destruire|DESTRUERE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
devons|devons1|devoir|DEBERE||VERB|auxMod|Fin,Ind,Pres,1,Plur|g,p,v
di|di|dire|DICERE||VERB||Fin,Ind,Pres,Intr,1,Sing|g,p,v
diex|diex|dieu|DEUS||NOUN||Masc,Plur,Acc|g,p,v
dir|dir|dire|DICERE||VERB||Ind,Inf,Pres,Intr|g,p,v
dire|dire|dire|DICERE||VERB||Ind,Inf,Pres,Intr|g,p,v
dit|dit|dire|DICERE||VERB||Fin,Ind,Pres,Intr,3,Sing|g,p,v
doit|doit|devoir|DEBERE||VERB|auxMod|Fin,Ind,Pres,3,Sing|g,p,v
dou|dou|de|DE||ADP||PrepArt|g,p,v
duree|duree|durer|DURARE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
dès|dès|des2|DE EX||ADP|||g,p,v
d’|d’|de|DE||ADP|||g,p,v
e|e|et|ET||CCONJ|||g,p,v
els|els1|il|ILLE||PRON||Prs,3,Masc,Plur,Acc|g,p,v
en|en|en1|IN||ADP|||g,p,v
en|en1|en|IN||PART||Verb|g,p,v
enn|enn|en1|IN||ADP|||g,p,v
ensegner|ensegner|enseignier|*INSIGNARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
enseigne|enseigne|enseignier|*INSIGNARE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing|g,p,v
enseignier|enseignier|enseignier|*INSIGNARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
ensement|ensement|ensement|IPSE||ADV|||g,p,v
ensi|ensi|ainsi|SIC||ADV|||g,p,v
ensi_com|ensi_com|ainsi|SIC||ADV|Adv|MWEs|g,p,v
ensience|ensience|escïence|SCIENTIA||NOUN||Fem,Sing|g,p,v
entendent|entendent|entendre|INTENDERE||VERB||Fin,Ind,Pres,Act,Trans,3,Plur|g,p,v
entres|entres|entre2|INTER||ADP|||g,p,v
entr’|entr’|entre2|INTER||ADP|||g,p,v
es|es4|le|ILLE||DET||ArtDef,Fem,Plur|g,p,v
escrist|escrist|escrire|SCRIBERE||VERB||Fin,Ind,Past,Act,Trans,3,Sing|g,p,v
escrit|escrit|escrire|SCRIBERE||VERB|Noun|Ind,Part,Past,Sing,Masc|g,p,v
esiencos|esiencos|escientos (GD)|SCIENS||ADJ||Masc,Sing,Acc|g,p,v
est|est|estre1|ESSE||VERB||Fin,Ind,Pres,Intr,3,Sing|g,p,v
est|est1|estre1|ESSE||VERB|auxCop|Fin,Ind,Pres,3,Sing|g,p,v
est|est2|estre1|ESSE||VERB|auxPass|Fin,Ind,Pres,3,Sing,MWEs|g,p,v
estoire|estoire|estoire1|HISTORIA||NOUN||Fem,Sing|g,p,v
estoit|estoit|estre1|ESSE||VERB||Fin,Ind,Imp,Intr,3,Sing|g,p,v
