$|$||||||
$de|$de||||||
$fu|$fu||||||
$te|$te||||||
-a|-a||||||
-cha3|-cha3||||||
-cit|-cit||||||
-f|-f||||||
-p|-p||||||
-qui|-qui||||||
-reg2|-reg2||||||
aparlee|aparlee||||||
aparoillier|aparoillier||||||
aparoilliers|aparoilliers||||||
aparut|aparut||||||
apasse|apasse||||||
apele|apele||||||
apelez|apelez||||||
apella|apella||||||
apelle|apelle||||||
apellent|apellent||||||
apellé|apellé||||||
apelléz|apelléz||||||
apeléz|apeléz||||||
apense|apense||||||
apenséz|apenséz||||||
apent|apent||||||
apercevoir|apercevoir||||||
aperceü|aperceü||||||
aperchoit|aperchoit||||||
aperquoit|aperquoit||||||
apertement|apertement||||||
aplainer|aplainer||||||
apoier|apoier||||||
aport|aport||||||
aporta|aporta||||||
aportai|aportai||||||
aporte|aporte||||||
aportee|aportee||||||
aportent|aportent||||||
aporter|aporter||||||
aportera|aportera||||||
aporterai|aporterai||||||
aporterent|aporterent||||||
aporteront|aporteront||||||
aportier|aportier||||||
aporté|aporté||||||
aportéz|aportéz||||||
appela|appela||||||
aprendre|aprendre||||||
aprent|aprent||||||
aprenéz|aprenéz||||||
aprestee|aprestee||||||
apris|apris||||||
aprise|aprise||||||
aprist|aprist||||||
aprochier|aprochier||||||
aprés|aprés||||||
aquater|aquater||||||
aquitee|aquitee||||||
aquitéz|aquitéz||||||
araisona|araisona||||||
araisone|araisone||||||
arbalestier|arbalestier||||||
arbre|arbre||||||
arbres|arbres||||||
arc|arc||||||
arde|arde||||||
ardi|ardi||||||
ardimant|ardimant||||||
ardiment|ardiment||||||
ardiz|ardiz||||||
ardoir|ardoir||||||
arendre|arendre||||||
argent|argent||||||
ariere|ariere||||||
ariva|ariva||||||
arivarent|arivarent||||||
arivees|arivees||||||
arivé|arivé||||||
arment|arment||||||
armer|armer||||||
armerent|armerent||||||
armes|armes||||||
armeüre|armeüre||||||
armeüres|armeüres||||||
armier|armier||||||
armé|armé||||||
arméz|arméz||||||
arosee|arosee||||||
ars|ars||||||
arse|arse||||||
art|art||||||
arz|arz||||||
as|as||||||
asaillir|asaillir||||||
asaut|asaut||||||
asavoir|asavoir||||||
asbanoier|asbanoier||||||
asberc|asberc||||||
ascouta|ascouta||||||
ascouté|ascouté||||||
aseiez|aseiez||||||
asenbla|asenbla||||||
aseta|aseta||||||
asez|asez||||||
asiet|asiet||||||
asis|asis||||||
asist|asist||||||
asoscoi|asoscoi||||||
asprement|asprement||||||
asseis|asseis||||||
assez|assez||||||
assille|assille||||||
assis|assis||||||
assés|assés||||||
asséz|asséz||||||
asséç|asséç||||||
aste|aste||||||
aster|aster||||||
asteroit|asteroit||||||
astes|astes||||||
astivement|astivement||||||
astort|astort||||||
asté|asté||||||
astéz|astéz||||||
asçaper|asçaper||||||
aséz|aséz||||||
atant|atant||||||
